candidate_id,type_index,type_code
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m120_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m120_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m122_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m122_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m122_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m122_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m126_c0,0,T047
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m126_c1,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m126_c2,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m126_c3,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m126_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m129_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m129_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m129_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m129_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m131_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m131_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m131_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m131_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m134_c0,0,T047
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m134_c1,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m134_c2,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m134_c3,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m134_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m139_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m139_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m139_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m139_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m141_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m141_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m141_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m141_c2,1,T121
